scheme,model,rmse,rmse_ci_low,rmse_ci_high,mae,r2,pearson_r,n_test
random,global_mean,1.345,1.319,1.372,1.106,-0.0,-0.0,3706
random,kinase_mean,1.327,1.3,1.352,1.09,0.027,0.166,3706
random,variant_mean,1.296,1.269,1.322,1.062,0.072,0.269,3706
random,ligand_rf,0.83,0.807,0.853,0.639,0.619,0.794,3706
random,ligand_variant_rf,0.807,0.785,0.828,0.623,0.64,0.809,3706
scaffold,global_mean,1.348,1.321,1.375,1.109,-0.0,,3700
scaffold,kinase_mean,1.328,1.302,1.352,1.09,0.029,0.185,3700
scaffold,variant_mean,1.3,1.274,1.325,1.066,0.07,0.265,3700
scaffold,ligand_rf,0.946,0.922,0.969,0.741,0.508,0.724,3700
scaffold,ligand_variant_rf,0.928,0.906,0.951,0.727,0.526,0.737,3700
variant,global_mean,1.208,1.173,1.246,0.997,-0.09,-0.0,1337
variant,kinase_mean,1.281,1.244,1.319,1.065,-0.225,0.068,1337
variant,variant_mean,1.208,1.171,1.248,0.997,-0.09,-0.0,1337
variant,ligand_rf,1.084,1.04,1.13,0.857,0.123,0.513,1337
variant,ligand_variant_rf,1.017,0.973,1.056,0.807,0.228,0.536,1337
combined,global_mean,1.276,1.183,1.364,1.059,-0.022,0.0,263
combined,kinase_mean,1.308,1.22,1.397,1.091,-0.073,0.07,263
combined,variant_mean,1.276,1.181,1.371,1.059,-0.022,0.0,263
combined,ligand_rf,1.149,1.053,1.237,0.917,0.172,0.459,263
combined,ligand_variant_rf,1.129,1.033,1.225,0.907,0.201,0.472,263
