scheme,grouping,partition,n_held_out_groups,n_shared_with_train,pct_shared
random,compound,valid,1771,582,32.9
random,compound,test,3441,1206,35.0
random,scaffold,valid,1133,815,71.9
random,scaffold,test,1910,1277,66.9
random,variant,valid,24,23,95.8
random,variant,test,24,24,100.0
scaffold,compound,valid,1374,0,0.0
scaffold,compound,test,2710,0,0.0
scaffold,scaffold,valid,426,0,0.0
scaffold,scaffold,test,1133,0,0.0
scaffold,variant,valid,19,19,100.0
scaffold,variant,test,25,25,100.0
variant,compound,valid,750,506,67.5
variant,compound,test,1260,1022,81.1
variant,scaffold,valid,336,250,74.4
variant,scaffold,test,542,434,80.1
variant,variant,valid,6,0,0.0
variant,variant,test,5,0,0.0
combined,compound,valid,89,0,0.0
combined,compound,test,246,0,0.0
combined,scaffold,valid,26,0,0.0
combined,scaffold,test,115,0,0.0
combined,variant,valid,5,0,0.0
combined,variant,test,5,0,0.0
